================ Training Loss (Sat Mar  9 23:23:53 2024) ================
(epoch: 16, iters: 30, time: 0.125, data: 0.001) D_A: 0.276 G_A: 0.290 cycle_A: 1.852 idt_A: 0.520 D_B: 0.458 G_B: 0.574 cycle_B: 1.245 idt_B: 0.834 
(epoch: 16, iters: 130, time: 0.125, data: 0.001) D_A: 0.186 G_A: 0.265 cycle_A: 1.617 idt_A: 0.546 D_B: 0.197 G_B: 0.572 cycle_B: 1.304 idt_B: 0.927 
(epoch: 17, iters: 32, time: 0.449, data: 0.001) D_A: 0.219 G_A: 0.251 cycle_A: 1.625 idt_A: 1.454 D_B: 0.214 G_B: 0.509 cycle_B: 3.319 idt_B: 0.625 
(epoch: 17, iters: 132, time: 0.125, data: 0.001) D_A: 0.269 G_A: 0.124 cycle_A: 1.093 idt_A: 0.671 D_B: 0.284 G_B: 0.587 cycle_B: 1.828 idt_B: 0.493 
(epoch: 18, iters: 34, time: 0.125, data: 0.001) D_A: 0.253 G_A: 0.373 cycle_A: 0.832 idt_A: 0.344 D_B: 0.492 G_B: 1.410 cycle_B: 0.679 idt_B: 0.267 
(epoch: 18, iters: 134, time: 0.126, data: 0.001) D_A: 0.187 G_A: 0.265 cycle_A: 1.643 idt_A: 1.869 D_B: 0.150 G_B: 0.497 cycle_B: 3.989 idt_B: 0.676 
(epoch: 19, iters: 36, time: 0.352, data: 0.001) D_A: 0.228 G_A: 0.472 cycle_A: 0.975 idt_A: 0.726 D_B: 0.326 G_B: 0.685 cycle_B: 1.620 idt_B: 0.424 
(epoch: 19, iters: 136, time: 0.125, data: 0.001) D_A: 0.078 G_A: 0.620 cycle_A: 0.902 idt_A: 1.880 D_B: 0.135 G_B: 0.355 cycle_B: 3.236 idt_B: 0.337 
(epoch: 20, iters: 38, time: 0.125, data: 0.001) D_A: 0.236 G_A: 0.222 cycle_A: 1.951 idt_A: 0.420 D_B: 0.151 G_B: 0.854 cycle_B: 1.237 idt_B: 1.021 
(epoch: 20, iters: 138, time: 0.125, data: 0.001) D_A: 0.217 G_A: 0.258 cycle_A: 1.711 idt_A: 0.989 D_B: 0.139 G_B: 0.307 cycle_B: 2.010 idt_B: 0.626 
